cyear,ccode,scode,country,year,flag,fragment,democ,autoc,polity,polity2,durable,xrreg,xrcomp,xropen,xconst,parreg,parcomp,exrec,exconst,polcomp,prior,emonth,eday,eyear,eprec,interim,bmonth,bday,byear,bprec,post,change,d4,sf,regtrans
3692008,369,UKR,Ukraine,2008,1,0,7,0,7,7,17,3,3,4,6,2,3,8,6,7,,,,,,,,,,,,,,,
1652008,165,URU,Uruguay,2008,0,0,10,0,10,10,23,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
22008,2,USA,United States,2008,0,0,10,0,10,10,199,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
7042008,704,UZB,Uzbekistan,2008,0,0,0,9,-9,-9,17,2,1,4,1,4,1,3,1,1,,,,,,,,,,,,,,,
1012008,101,VEN,Venezuela,2008,1,0,5,0,5,5,40,3,3,4,4,2,3,8,4,7,,,,,,,,,,,,,,,
8182008,818,VIE,Vietnam,2008,0,0,0,7,-7,-7,54,2,1,4,3,4,1,3,3,1,,,,,,,,,,,,,,,
6792008,679,YEM,Yemen,2008,0,0,1,3,-2,-2,15,2,0,0,2,3,3,5,2,6,,,,,,,,,,,,,,,
4902008,490,ZAI,Congo Kinshasa,2008,2,1,6,1,5,5,2,2,2,4,5,3,4,7,5,8,,,,,,,,,,,,,,,
5512008,551,ZAM,Zambia,2008,1,0,7,0,7,7,7,3,3,4,5,2,4,8,5,9,5,10,29,2008,1,,10,30,2008,1,7,2,1,,0
5522008,552,ZIM,Zimbabwe,2008,0,0,1,5,-4,-4,9,2,1,4,2,3,3,3,2,6,,,,,,,,,,,,,,,
