"lon","lat","order"
117.04336,40.051149,349
117.042629,40.050722,350
117.041644,40.050368,351
117.040816,40.05014,352
117.04011,40.049883,353
117.038637,40.049371,354
117.038114,40.048883,355
117.037626,40.048079,356
117.037094,40.047157,357
117.036318,40.045927,358
117.035516,40.044766,359
117.034697,40.043943,360
117.034243,40.04346,361
117.033642,40.042881,362
117.033153,40.042355,363
117.032727,40.042033,364
117.032151,40.041718,365
117.030669,40.040898,366
117.029074,40.039991,367
117.027652,40.039206,368
117.027042,40.038826,369
117.02699,40.038739,370
117.027164,40.038392,371
117.028053,40.035478,372
117.028515,40.033961,373
117.027939,40.033998,374
117.026579,40.033937,375
117.025045,40.033812,376
117.02392,40.033752,377
117.023807,40.033717,378
117.02379,40.033691,379
117.023798,40.033587,380
117.024591,40.031041,381
117.024739,40.030655,382
117.024948,40.030187,383
117.024914,40.030126,384
117.024844,40.030109,385
117.022839,40.029782,386
117.021958,40.029679,387
117.021766,40.029635,388
117.021322,40.030845,389
117.020895,40.03245,390
117.020642,40.032379,391
117.020058,40.03223,392
117.019552,40.03212,393
117.017982,40.031768,394
117.017895,40.031703,395
117.017895,40.031586,396
117.018026,40.030787,397
117.018069,40.030531,398
117.018069,40.030471,399
117.017563,40.030495,400
117.014599,40.03076,401
117.014399,40.031788,402
117.014198,40.032864,403
117.014076,40.032885,404
117.011347,40.032603,405
117.01112,40.032572,406
117.011373,40.031254,407
117.011303,40.031219,408
117.009847,40.03111,409
117.007649,40.030921,410
117.007623,40.030912,411
117.007562,40.030886,412
117.007527,40.030821,413
117.007527,40.030678,414
117.007536,40.030573,415
117.007501,40.030521,416
117.00689,40.030554,417
117.004902,40.030331,418
117.000673,40.029915,419
117.000115,40.029861,420
117.000115,40.030126,421
117.000159,40.031306,422
117.000167,40.031823,423
117.00015,40.032248,424
116.99886,40.032735,425
116.998319,40.032998,426
116.997421,40.033421,427
116.996994,40.033654,428
116.996662,40.033918,429
116.996069,40.034389,430
116.995485,40.034852,431
116.99498,40.035211,432
116.99457,40.035391,433
116.994395,40.03556,434
116.992809,40.036454,435
116.992346,40.036661,436
116.991841,40.036894,437
116.991274,40.037075,438
116.990489,40.037259,439
116.990211,40.037362,440
116.987761,40.038323,441
116.98668,40.038698,442
116.986191,40.038779,443
116.985633,40.038834,444
116.983175,40.038735,445
116.980205,40.03856,446
116.980187,40.038595,447
116.980158,40.038557,448
116.978921,40.038485,449
116.978346,40.038397,450
116.974022,40.037426,451
